是否逾期,申请时段,grade,closed_accounts,open_accounts,enquiry_alert,人脸相似度,电话使用时长,年龄,分区,信用卡额度使用率,信用卡数,信用卡平均额度,贷款数,贷款平均额度,平均分期金额,平均期数,90天内贷款查询次数,180天内贷款查询次数,120天内信用卡查询次数,365天内信用卡查询次数,历史近两年逾期最大天数,ULC33S,近三个月逾期天数,G207O,dsr_before,身份证号首字母,历史申请贷款查询数,开户成功率,total_monthly_obligation
否,21点,HH,1,0,6,0.53,两年以上,28,西贡,0.74,2,34000,2,32500,2069,24,5,5,1,1,0,141355,0,6578,0,Y,4,0.25,345
否,15点,II,1,6,42,0.58,一年到两年,22,葵青,0.62,4,31500,2,32500,3356,12,10,11,1,4,0,146451,0,9052,53,Y,9,0.56,9237
是,19点,II,1,2,8,0.47,三个月内,21,西贡,1,1,50000,1,30000,1478,60,3,3,0,1,0,79953,0,2977,60,Y,4,0.75,3161
否,14点,EE,2,2,26,0.58,三个月内,23,荃湾,0.64,2,26000,0,0,0,0,0,0,1,1,0,33084,0,993,7,V,0,0,1429
否,12点,II,0,0,4,0.37,三个月内,30,元朗,0.74,2,34000,2,32500,2069,24,4,4,0,0,0,141355,0,6578,0,Z,4,0,184
是,19点,HH,18,6,31,0.48,三个月到半年,31,观塘,0,2,10000,1,20000,986,60,1,3,0,0,10,20000,0,986,8,V,14,1.07,1331
否,8点,II,0,2,6,0.62,三个月到半年,24,九龙城,0.65,1,5000,1,10000,1066,12,5,6,0,0,0,14978,0,1164,9,Y,6,0.33,0
否,22点,II,15,8,25,0.59,三个月到半年,24,东区,0.71,4,21250,2,20000,1260,39,1,4,0,1,0,99984,0,4320,17,Y,12,1,4504
否,9点,II,0,0,4,0.52,一年到两年,22,葵青,0.74,2,34000,2,32500,2069,24,3,3,0,0,0,141355,0,6578,0,R,2,0,184
否,13点,II,0,3,20,0.57,半年到一年,22,屯门,0,1,50000,2,92500,4122,30,7,11,0,0,0,219489,0,8244,46,R,8,0.25,8428
否,10点,II,19,5,30,0.62,Missing,55,观塘,0.81,2,40000,3,43333,2856,31,3,5,0,0,0,223365,0,10503,60,G,24,1,10688
否,10点,II,8,6,43,0.5,三个月内,39,元朗,0.81,3,15000,3,20000,1910,13,5,7,0,2,0,102760,1,6822,44,K,14,0.79,0
否,12点,II,14,7,60,0.55,Missing,59,东区,0.92,3,26667,4,32750,1834,26,1,5,0,0,0,220334,0,9548,54,D,21,0.76,8635
是,12点,II,1,5,18,0.38,三个月到半年,25,大埔,0.87,3,21667,2,15000,1464,14,5,10,0,0,33,88518,33,4626,26,Y,11,0.55,4810
否,18点,II,0,2,4,0.52,一年到两年,24,西贡,1.03,2,42500,0,0,0,0,0,0,0,0,0,87306,0,2619,19,R,1,1,2804
否,0点,II,0,3,12,0.51,半年到一年,20,沙田,0.98,2,30500,1,20000,1834,12,1,3,0,1,7,78007,7,3624,12,Y,4,0.75,3808
否,9点,II,2,5,65,0.61,两年以上,23,葵青,0.31,3,43333,2,83500,2286,42,1,2,0,0,72,80718,1,5793,59,Y,7,0.14,5977
是,11点,II,0,1,17,0.49,三个月内,25,东区,0,0,0,1,30000,3383,12,11,12,1,1,0,30000,0,3383,14,V,10,0.1,3567
否,10点,HH,2,6,40,0.56,两年以上,24,深水埗,0.44,3,44895,3,38333,2417,18,6,8,0,0,0,176662,0,9028,45,V,7,0.57,9373
是,10点,II,7,5,42,0.59,Missing,41,深水埗,0.75,3,40667,2,280000,9437,48,1,1,0,0,41,725340,41,21609,60,K,2,3.5,21793
否,11点,II,4,9,48,0.53,两年以上,22,西贡,0.43,4,16250,5,22400,2155,22,0,1,0,0,8,120296,1,11612,41,Y,29,0.45,0
否,19点,II,11,4,26,0.42,Missing,48,观塘,1.01,1,100000,3,196333,6638,40,6,6,1,1,104,486131,0,22956,63,G,15,0.93,23140
否,20点,EE,4,3,52,0.7,Missing,40,屯门,0.97,1,14000,1,40000,2175,24,0,0,0,0,0,48357,0,2582,36,K,1,3,3018
是,9点,GG,0,1,50,0.48,两年以上,30,荃湾,1.01,1,70000,0,0,0,0,1,4,0,1,13,70717,0,2122,15,Z,26,0.04,2467
否,15点,II,3,6,38,0.55,两年以上,22,深水埗,0.82,4,15000,2,47500,2185,30,2,5,0,0,0,169147,0,5854,11,Y,5,0.6,6038
否,17点,II,17,7,64,0.59,两年以上,33,九龙城,0.96,2,25000,5,55463,1969,26,3,3,0,0,0,266163,0,11285,85,Z,24,0.63,0
是,12点,BB,2,4,51,0.34,半年到一年,59,北区,0.53,4,107150,0,0,0,0,5,5,5,8,0,226374,0,6791,19,G,3,0,7370
否,15点,GG,6,0,21,0.46,两年以上,32,沙田,0.74,2,34000,2,32500,2069,24,0,0,0,1,0,141355,0,6578,0,Z,7,0.14,345
否,17点,II,5,10,68,0.55,两年以上,30,深水埗,0.89,5,23000,5,34078,2140,30,2,6,2,2,2,220541,2,13764,60,P,13,0.54,13948
否,16点,GG,1,5,8,0.32,两年以上,45,沙田,0.39,4,27500,1,112200,5471,24,0,2,0,1,0,144336,0,6768,44,K,1,0,7113
否,23点,II,20,10,121,0.57,两年以上,45,东区,0.91,5,32200,5,123000,5082,28,7,12,0,0,28,760847,1,29816,75,K,53,0.51,30001
否,11点,II,5,6,49,0.52,两年以上,23,黄大仙,0.9,3,30000,3,16667,1750,11,2,6,0,0,6,144104,0,7693,98,Y,12,0.58,7877
是,11点,II,2,3,37,0.36,一年到两年,31,元朗,0.9,2,35000,1,20000,1997,12,6,6,0,2,0,66702,0,3878,39,R,20,0.15,4063
否,12点,GG,3,2,10,0.52,两年以上,50,屯门,0.86,1,10000,1,18000,1842,12,2,2,0,1,0,30656,0,2099,55,D,3,1,2444
否,15点,GG,4,6,60,0.36,两年以上,28,东区,0.82,4,36250,2,35989,1152,30,0,1,0,0,0,143771,0,5871,51,R,9,0.67,6216
否,14点,II,6,13,148,0.43,两年以上,36,东区,0.8,10,77400,0,0,0,0,3,3,0,0,0,615854,30,18476,77,Z,6,0.33,18660
否,16点,CC,0,1,5,0.57,两年以上,39,屯门,0,1,30000,0,0,0,0,1,1,0,0,0,0,0,0,0,P,2,0.5,574
是,15点,II,2,6,58,0.41,一年到两年,27,黄大仙,0.98,1,20000,5,23200,1544,20,5,6,0,1,4,142215,4,8308,64,V,10,0.6,8493
否,17点,HH,2,3,37,0.35,两年以上,28,元朗,0.74,2,45000,1,20000,1542,18,3,3,0,0,0,85857,0,3540,18,Y,3,1.67,3885
否,17点,II,1,4,26,0.54,半年到一年,24,黄大仙,0.86,2,7500,2,10000,1066,12,4,6,1,4,6,31062,1,2520,21,Y,17,0.29,2705
是,17点,II,7,8,65,0.58,半年到一年,19,元朗,0.63,3,18333,5,34000,2067,28,7,22,0,1,0,216215,0,11368,71,Y,46,0.33,11553
是,21点,II,20,9,61,0.4,Missing,24,元朗,0.75,4,17500,5,15000,1726,11,8,11,0,1,10,126458,7,10196,71,Y,37,0.76,8186
是,8点,II,0,3,14,0.36,一年到两年,22,屯门,1,2,10000,1,16000,981,24,6,6,1,3,0,35959,0,1580,8,Y,7,0.29,1764
否,0点,II,1,2,11,0.52,两年以上,29,屯门,1.05,1,50000,1,10000,493,60,1,1,0,0,6,62621,6,2072,33,Y,2,1.5,2256
否,13点,II,5,5,25,0.74,一年到两年,39,黄大仙,1.02,2,10000,3,25000,2016,14,7,13,0,0,2,113715,2,6658,77,K,17,0.59,6842
否,11点,HH,3,11,117,0.39,两年以上,34,葵青,0.74,8,57875,2,70000,2807,39,1,1,0,2,0,435339,5,15851,89,V,5,0.2,16196
否,16点,II,16,8,114,0.58,Missing,26,屯门,0.33,3,25000,5,64225,2998,29,1,10,5,10,10,350414,10,15724,98,Y,25,0.52,15908
否,22点,II,5,4,44,0.4,Missing,39,黄大仙,0.99,3,35667,1,200000,7087,48,3,3,0,0,13,303890,1,10251,48,K,6,0.83,10435
否,0点,HH,0,2,21,0.38,半年到一年,22,北区,0,0,0,2,40000,2059,24,0,0,0,0,0,76041,0,4118,29,R,5,0.2,4463
否,0点,CC,0,3,2,0.61,Missing,25,屯门,0.28,3,28333,0,0,0,0,0,0,0,1,0,24193,0,726,26,Y,0,0,0
否,8点,II,7,9,112,0.35,两年以上,26,北区,0.65,5,28800,4,41500,2387,21,8,13,0,0,4,206059,4,12022,55,Y,24,0.42,12207
否,9点,HH,0,0,2,0.54,一年到两年,23,西贡,0.74,2,34000,2,32500,2069,24,1,1,0,0,0,141355,0,6578,0,R,2,0,345
否,15点,II,5,7,67,0.45,两年以上,28,元朗,0.99,3,17667,3,115667,5253,24,1,6,0,0,0,391153,0,17338,53,Y,14,0.57,17523
否,10点,FF,2,2,9,0.44,半年到一年,22,观塘,0.86,2,10000,0,0,0,0,0,0,0,3,0,17295,0,519,4,Y,0,0,903
否,11点,GG,8,4,21,0.31,两年以上,26,东区,0.97,4,97000,0,0,0,0,1,1,0,1,7,376022,3,11281,45,Y,5,0.4,11626
是,15点,II,7,8,92,0.41,两年以上,29,北区,0.86,4,41250,4,28750,1681,26,6,11,0,0,7,233741,7,10992,33,Y,22,0.5,11176
是,0点,II,6,4,22,0.61,半年到一年,22,观塘,0.46,3,27667,1,60000,2843,36,7,8,0,0,9,135200,9,3999,36,Y,7,0.57,4183
否,0点,HH,2,4,12,0.3,两年以上,27,大埔,1.28,2,21000,2,35000,2171,39,0,2,0,0,0,119982,0,5950,40,Y,3,1,0
否,23点,CC,0,2,13,0.4,一年到两年,21,沙田,0,2,12500,0,0,0,0,0,0,0,0,8,0,0,0,0,R,7,0.29,574
否,14点,GG,0,2,4,0.46,Missing,20,沙田,0.26,1,18000,1,15000,1323,12,1,1,2,3,0,20617,0,1465,16,Y,0,0,1810
否,22点,II,2,2,38,0.63,半年到一年,21,东区,0.64,1,10000,1,13528,1414,12,2,2,5,13,0,19913,0,1606,9,Y,3,1,1790
否,9点,HH,17,4,32,0.52,三个月内,29,沙田,0.56,2,34975,1,30000,1478,60,4,9,0,1,15,69008,0,2648,15,Y,11,1.64,0
否,11点,GG,5,5,42,0.58,Missing,30,中西区,1.01,3,18516,2,118000,2770,60,0,0,0,0,0,222438,0,7178,55,Z,1,3,7523
是,15点,II,2,3,11,0.67,三个月内,37,湾仔,0.98,1,10000,1,10000,493,60,4,5,1,1,0,20246,0,800,3,Z,7,0.43,985
否,20点,II,19,6,53,0.58,Missing,47,大埔,1.02,1,80000,5,221473,7504,42,3,5,2,5,4,1003433,0,39975,101,G,15,1.13,0
否,8点,GG,10,7,37,0.58,两年以上,37,大埔,0.47,5,16600,2,144108,5624,48,1,2,0,0,1,422497,1,12427,66,Z,10,1,12772
是,9点,HH,9,8,61,0.55,两年以上,37,屯门,0.63,6,42500,2,256975,8676,48,5,8,0,1,0,665045,0,22177,77,Z,17,0.59,22522
否,9点,II,15,5,42,0.7,两年以上,39,南区,0.48,1,10000,4,38959,2161,39,2,7,0,1,12,157889,5,8787,59,P,15,1.2,7326
否,18点,GG,11,8,62,0.64,Missing,50,元朗,0.85,6,44667,2,225000,9068,42,1,2,0,0,0,850902,0,24950,71,G,16,0.81,0
否,14点,II,0,11,50,0.49,两年以上,21,油尖旺,0.82,9,7778,2,15000,1047,36,0,7,0,3,0,85088,30,3807,63,Y,7,0.57,3992
否,21点,GG,6,2,7,0.43,两年以上,21,屯门,1.03,1,45000,1,10000,493,60,0,0,0,0,0,51151,0,1878,27,Y,4,0.5,2223
否,19点,II,17,8,40,0.46,Missing,33,东区,0.87,2,71500,3,153059,3612,44,3,3,0,0,91,355940,0,14578,29,Z,8,1.75,14762
否,8点,II,1,3,13,0.44,两年以上,25,深水埗,1.01,1,25000,2,60000,1643,42,6,7,1,1,0,160894,0,4044,23,Y,3,0,4228
否,11点,II,3,4,10,0.45,半年到一年,49,沙田,1.05,1,10000,3,23333,2118,14,3,8,1,1,0,85180,0,6670,58,G,9,0.78,6854
否,12点,II,2,8,56,0.5,三个月到半年,22,元朗,0.95,5,11200,3,10000,1329,10,7,10,0,0,8,83048,1,5589,51,Y,27,0.26,5773
否,20点,II,11,11,62,0.46,Missing,37,沙田,0.78,5,22000,6,83000,3556,30,0,6,0,3,8,418363,8,23916,104,Z,20,0.95,24100
否,13点,II,14,3,11,0.47,Missing,35,元朗,0.9,1,5000,2,315668,7583,69,0,1,0,0,21,675432,11,15300,44,Z,8,1.38,15484
否,11点,HH,0,3,39,0.45,三个月内,28,荃湾,0.99,2,131000,1,100000,3037,36,0,0,0,0,0,326184,0,10820,72,Y,2,0.5,11165
否,12点,GG,0,2,6,0.37,三个月内,23,油尖旺,1.01,2,15000,0,0,0,0,3,3,3,3,0,30209,0,906,6,P,3,0.33,1251
否,22点,II,9,13,92,0.41,两年以上,38,沙田,0.98,8,28250,5,74200,2736,28,6,12,1,1,9,607792,6,20053,80,Z,23,0.43,20237
否,22点,HH,22,5,50,0.62,Missing,50,西贡,1,1,20000,4,136250,6976,32,4,13,0,0,0,741103,0,28505,98,C,38,0.68,28850
